,FRUITS_VEGGIES,DAILY_STRESS,CORE_CIRCLE,SOCIAL_NETWORK,BMI_RANGE,DAILY_STEPS,SLEEP_HOURS,SUFFICIENT_INCOME,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,WORK_LIFE_BALANCE_SCORE_RAIZ
0,3,2,5,5,1,5,7,1,0,5,36 to 50,Female,609.5,24.68805379125702
1,2,3,3,10,2,5,8,2,2,6,36 to 50,Female,655.6,25.60468707092512
2,2,3,4,10,2,4,8,2,8,3,36 to 50,Female,631.6,25.13165334791963
3,3,3,3,7,2,5,5,1,2,0,51 or more,Female,622.7,24.95395760195164
4,5,1,3,4,2,5,7,2,1,5,51 or more,Female,663.9,25.766257004074145
5,3,2,9,10,1,7,8,2,8,3,51 or more,Female,722.3,26.875639527274508
6,4,2,6,10,2,7,7,2,8,10,51 or more,Male,727.2,26.96664606509308
7,3,4,3,7,1,8,6,2,2,2,21 to 35,Female,676.2,26.003845869409396
8,5,3,4,3,1,1,10,2,3,10,21 to 35,Female,702.8,26.510375327407193
9,4,4,6,10,2,3,6,1,8,1,51 or more,Female,634.4,25.187298386289864
10,2,4,7,1,2,7,8,2,0,6,36 to 50,Female,610.1,24.7002024283203
11,1,4,8,2,1,8,7,2,1,7,21 to 35,Male,618.6,24.87167063146342
12,2,2,5,8,2,6,8,2,2,7,21 to 35,Male,686.4,26.199236630100504
13,5,3,3,6,1,7,6,2,6,5,36 to 50,Female,689.6,26.260236099471765
14,3,3,3,5,1,2,8,1,5,4,21 to 35,Female,639.7,25.29229131573492
15,3,3,4,10,1,8,6,2,3,10,51 or more,Female,720.4,26.84026825499328
16,4,2,4,10,1,1,8,2,3,3,21 to 35,Male,673.5,25.95187854472196
17,4,2,10,10,1,10,8,2,8,6,21 to 35,Male,707.6,26.600751869073175
18,5,3,7,5,1,8,9,2,4,7,36 to 50,Female,727.8,26.9777686252959
19,3,1,10,6,2,1,8,2,1,2,36 to 50,Male,687.1,26.212592393733207
20,2,4,8,5,1,4,4,2,2,5,21 to 35,Male,652.9,25.551907952244974
21,3,5,4,3,2,3,7,2,10,10,21 to 35,Female,668.6,25.857300709857554
22,5,2,6,10,2,3,7,2,6,8,36 to 50,Male,709.4,26.634564009947674
23,2,2,10,10,1,7,7,2,5,7,36 to 50,Male,752.7,27.435378619585332
24,2,4,10,5,2,7,6,2,3,10,36 to 50,Female,677.7,26.032671779899967
25,1,5,3,5,1,8,7,2,1,1,21 to 35,Male,633.9,25.177370792042602
26,1,4,2,3,1,8,7,2,1,1,21 to 35,Male,628.8,25.075884829851965
27,2,4,3,7,1,5,7,2,2,2,21 to 35,Female,692.8,26.32109420217936
28,3,4,4,10,1,10,6,1,2,8,36 to 50,Female,673.2,25.946097972527586
29,4,2,3,2,1,4,7,2,1,7,Less than 20,Female,673.9,25.95958397201311
30,5,3,3,5,1,10,7,1,5,10,21 to 35,Male,712.5,26.692695630078276
31,3,1,5,10,1,3,8,2,4,1,36 to 50,Female,692.6,26.317294693794043
32,0,5,3,8,2,1,6,2,2,1,36 to 50,Female,574.5,23.96872962841377
33,1,3,3,3,1,5,8,1,3,7,51 or more,Female,630.1,25.10179276466125
34,4,2,6,8,1,10,7,2,4,10,21 to 35,Male,746.5,27.3221521846285
35,3,3,2,5,2,2,6,1,2,10,21 to 35,Male,591.7,24.32488437793693
36,2,3,4,8,1,2,6,2,6,10,51 or more,Female,729.4,27.00740639158081
37,2,5,8,2,2,10,8,1,0,10,36 to 50,Female,593.7,24.36595986206987
38,4,1,10,10,2,7,6,1,4,10,51 or more,Male,682.8,26.130442016927304
39,5,3,6,7,1,3,9,2,6,10,51 or more,Female,723.4,26.89609637103496
40,4,2,8,4,1,3,7,2,4,8,21 to 35,Female,687.3,26.216407076485517
41,4,3,8,3,2,3,5,2,0,2,51 or more,Female,635.9,25.21705771893303
42,2,3,8,10,2,2,9,1,0,10,51 or more,Female,655.2,25.59687480924185
43,3,2,1,10,1,7,7,1,5,8,21 to 35,Male,652.4,25.54212207315594
44,2,3,10,4,1,8,8,2,2,3,36 to 50,Female,657.9,25.649561399758866
45,3,5,2,10,1,10,5,2,2,2,36 to 50,Female,686.6,26.2030532572065
46,5,3,10,6,1,10,6,2,4,10,51 or more,Female,732.7,27.068431797945003
47,4,2,10,8,2,10,8,1,3,7,21 to 35,Female,685.5,26.182054923172092
48,3,2,10,10,2,7,7,2,3,10,51 or more,Female,742.5,27.248853186877426
49,2,3,10,10,2,2,8,2,1,1,36 to 50,Female,663.5,25.758493744782516
50,4,3,3,10,1,8,7,2,5,9,21 to 35,Female,710.4,26.65332999833229
51,3,5,9,10,2,10,8,2,3,5,21 to 35,Female,658.3,25.657357619209346
