,Timestamp,FRUITS_VEGGIES,DAILY_STRESS,CORE_CIRCLE,SOCIAL_NETWORK,BMI_RANGE,DAILY_STEPS,SLEEP_HOURS,SUFFICIENT_INCOME,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
0,7/7/15,3,2,5,5,1,5,7,1,0,5,36 to 50,Female,609.5
1,7/7/15,2,3,3,10,2,5,8,2,2,6,36 to 50,Female,655.6
2,7/7/15,2,3,4,10,2,4,8,2,8,3,36 to 50,Female,631.6
3,7/7/15,3,3,3,7,2,5,5,1,2,0,51 or more,Female,622.7
4,7/7/15,5,1,3,4,2,5,7,2,1,5,51 or more,Female,663.9
5,7/8/15,3,2,9,10,1,7,8,2,8,3,51 or more,Female,722.3
6,7/8/15,4,2,6,10,2,7,7,2,8,10,51 or more,Male,727.2
7,7/9/15,3,4,3,7,1,8,6,2,2,2,21 to 35,Female,676.2
8,7/9/15,5,3,4,3,1,1,10,2,3,10,21 to 35,Female,702.8
9,7/10/15,4,4,6,10,2,3,6,1,8,1,51 or more,Female,634.4
10,7/10/15,2,4,7,1,2,7,8,2,0,6,36 to 50,Female,610.1
11,7/12/15,1,4,8,2,1,8,7,2,1,7,21 to 35,Male,618.6
12,7/12/15,2,2,5,8,2,6,8,2,2,7,21 to 35,Male,686.4
13,7/12/15,5,3,3,6,1,7,6,2,6,5,36 to 50,Female,689.6
14,7/12/15,3,3,3,5,1,2,8,1,5,4,21 to 35,Female,639.7
15,7/12/15,3,3,4,10,1,8,6,2,3,10,51 or more,Female,720.4
16,7/12/15,4,2,4,10,1,1,8,2,3,3,21 to 35,Male,673.5
17,7/12/15,4,2,10,10,1,10,8,2,8,6,21 to 35,Male,707.6
18,7/12/15,5,3,7,5,1,8,9,2,4,7,36 to 50,Female,727.8
19,7/13/15,3,1,10,6,2,1,8,2,1,2,36 to 50,Male,687.1
20,7/13/15,2,4,8,5,1,4,4,2,2,5,21 to 35,Male,652.9
21,7/13/15,3,5,4,3,2,3,7,2,10,10,21 to 35,Female,668.6
22,7/13/15,5,2,6,10,2,3,7,2,6,8,36 to 50,Male,709.4
23,7/13/15,2,2,10,10,1,7,7,2,5,7,36 to 50,Male,752.7
24,7/13/15,2,4,10,5,2,7,6,2,3,10,36 to 50,Female,677.7
25,7/13/15,1,5,3,5,1,8,7,2,1,1,21 to 35,Male,633.9
26,7/13/15,1,4,2,3,1,8,7,2,1,1,21 to 35,Male,628.8
