,FRUITS_VEGGIES,DAILY_STRESS,CORE_CIRCLE,SOCIAL_NETWORK,BMI_RANGE,DAILY_STEPS,SLEEP_HOURS,SUFFICIENT_INCOME,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,WORK_LIFE_BALANCE_SCORE_RAIZ,AGE_le,owners_Female,owners_Male
0,3,2,5,5,1,5,7,1,0,5,2,Female,609.5,24.68805379125702,1,1,0
1,2,3,3,10,2,5,8,2,2,6,2,Female,655.6,25.60468707092512,1,1,0
2,2,3,4,10,2,4,8,2,8,3,2,Female,631.6,25.13165334791963,1,1,0
3,3,3,3,7,2,5,5,1,2,0,3,Female,622.7,24.95395760195164,2,1,0
4,5,1,3,4,2,5,7,2,1,5,3,Female,663.9,25.766257004074145,2,1,0
5,3,2,9,10,1,7,8,2,8,3,3,Female,722.3,26.875639527274508,2,1,0
6,4,2,6,10,2,7,7,2,8,10,3,Male,727.2,26.96664606509308,2,0,1
7,3,4,3,7,1,8,6,2,2,2,1,Female,676.2,26.0038458694094,0,1,0
8,5,3,4,3,1,1,10,2,3,10,1,Female,702.8,26.510375327407196,0,1,0
9,4,4,6,10,2,3,6,1,8,1,3,Female,634.4,25.187298386289864,2,1,0
10,2,4,7,1,2,7,8,2,0,6,2,Female,610.1,24.7002024283203,1,1,0
11,1,4,8,2,1,8,7,2,1,7,1,Male,618.6,24.87167063146342,0,0,1
12,2,2,5,8,2,6,8,2,2,7,1,Male,686.4,26.199236630100504,0,0,1
13,5,3,3,6,1,7,6,2,6,5,2,Female,689.6,26.260236099471765,1,1,0
14,3,3,3,5,1,2,8,1,5,4,1,Female,639.7,25.29229131573492,0,1,0
15,3,3,4,10,1,8,6,2,3,10,3,Female,720.4,26.84026825499328,2,1,0
16,4,2,4,10,1,1,8,2,3,3,1,Male,673.5,25.95187854472196,0,0,1
17,4,2,10,10,1,10,8,2,8,6,1,Male,707.6,26.60075186907317,0,0,1
18,5,3,7,5,1,8,9,2,4,7,2,Female,727.8,26.9777686252959,1,1,0
19,3,1,10,6,2,1,8,2,1,2,2,Male,687.1,26.212592393733207,1,0,1
20,2,4,8,5,1,4,4,2,2,5,1,Male,652.9,25.55190795224497,0,0,1
21,3,5,4,3,2,3,7,2,10,10,1,Female,668.6,25.857300709857554,0,1,0
22,5,2,6,10,2,3,7,2,6,8,2,Male,709.4,26.634564009947677,1,0,1
23,2,2,10,10,1,7,7,2,5,7,2,Male,752.7,27.43537861958533,1,0,1
24,2,4,10,5,2,7,6,2,3,10,2,Female,677.7,26.032671779899967,1,1,0
25,1,5,3,5,1,8,7,2,1,1,1,Male,633.9,25.1773707920426,0,0,1
26,1,4,2,3,1,8,7,2,1,1,1,Male,628.8,25.075884829851965,0,0,1
27,2,4,3,7,1,5,7,2,2,2,1,Female,692.8,26.32109420217936,0,1,0
28,3,4,4,10,1,10,6,1,2,8,2,Female,673.2,25.946097972527586,1,1,0
29,4,2,3,2,1,4,7,2,1,7,0,Female,673.9,25.95958397201311,3,1,0
30,5,3,3,5,1,10,7,1,5,10,1,Male,712.5,26.69269563007828,0,0,1
31,3,1,5,10,1,3,8,2,4,1,2,Female,692.6,26.317294693794043,1,1,0
32,0,5,3,8,2,1,6,2,2,1,2,Female,574.5,23.96872962841377,1,1,0
33,1,3,3,3,1,5,8,1,3,7,3,Female,630.1,25.10179276466125,2,1,0
34,4,2,6,8,1,10,7,2,4,10,1,Male,746.5,27.3221521846285,0,0,1
35,3,3,2,5,2,2,6,1,2,10,1,Male,591.7,24.32488437793693,0,0,1
36,2,3,4,8,1,2,6,2,6,10,3,Female,729.4,27.00740639158081,2,1,0
37,2,5,8,2,2,10,8,1,0,10,2,Female,593.7,24.36595986206987,1,1,0
38,4,1,10,10,2,7,6,1,4,10,3,Male,682.8,26.130442016927304,2,0,1
39,5,3,6,7,1,3,9,2,6,10,3,Female,723.4,26.89609637103496,2,1,0
40,4,2,8,4,1,3,7,2,4,8,1,Female,687.3,26.21640707648552,0,1,0
41,4,3,8,3,2,3,5,2,0,2,3,Female,635.9,25.21705771893303,2,1,0
42,2,3,8,10,2,2,9,1,0,10,3,Female,655.2,25.59687480924185,2,1,0
43,3,2,1,10,1,7,7,1,5,8,1,Male,652.4,25.54212207315594,0,0,1
44,2,3,10,4,1,8,8,2,2,3,2,Female,657.9,25.649561399758863,1,1,0
45,3,5,2,10,1,10,5,2,2,2,2,Female,686.6,26.2030532572065,1,1,0
46,5,3,10,6,1,10,6,2,4,10,3,Female,732.7,27.068431797945003,2,1,0
47,4,2,10,8,2,10,8,1,3,7,1,Female,685.5,26.18205492317209,0,1,0
48,3,2,10,10,2,7,7,2,3,10,3,Female,742.5,27.248853186877422,2,1,0
49,2,3,10,10,2,2,8,2,1,1,2,Female,663.5,25.75849374478252,1,1,0
50,4,3,3,10,1,8,7,2,5,9,1,Female,710.4,26.65332999833229,0,1,0
51,3,5,9,10,2,10,8,2,3,5,1,Female,658.3,25.657357619209343,0,1,0
52,1,2,6,10,2,5,6,2,1,2,2,Male,633.1,25.161478493920026,1,0,1
53,5,2,6,9,1,6,8,2,3,5,3,Female,677.9,26.036512823340992,2,1,0
54,4,2,10,2,2,1,6,2,4,4,1,Female,640.8,25.314027731674784,0,1,0
55,1,4,1,7,1,3,6,1,2,1,0,Female,557.9,23.619906858410765,3,1,0
56,4,2,6,10,2,5,8,2,1,2,2,Female,669.2,25.868900247208035,1,1,0
57,5,4,6,10,1,10,7,2,4,5,2,Male,712.5,26.69269563007828,1,0,1
58,4,3,1,2,1,10,7,2,1,7,3,Female,712.5,26.69269563007828,2,1,0
59,0,5,2,2,1,1,10,1,0,0,1,Male,571.9,23.914430789797198,0,0,1
60,0,5,2,2,1,1,10,1,0,0,1,Male,575.3,23.98541223327212,0,0,1
61,4,3,7,8,1,8,7,2,9,4,1,Female,678.1,26.04035330021465,0,1,0
62,5,2,5,4,1,6,7,1,8,8,1,Male,648.8,25.47155275989275,0,0,1
63,1,1,2,5,1,8,6,2,1,7,1,Male,649.0,25.475478405713996,0,0,1
64,2,5,4,0,1,2,9,1,1,10,2,Female,656.9,25.63006047593333,1,1,0
65,3,3,8,6,1,5,6,2,4,8,1,Female,680.7,26.090228055729984,0,1,0
66,3,3,8,6,1,5,6,1,4,8,1,Female,663.7,25.762375666851845,0,1,0
67,2,1,3,4,2,10,7,2,3,10,1,Male,661.5,25.71964229922337,0,0,1
68,3,1,1,3,1,6,7,2,1,1,3,Female,609.7,24.692104001076945,2,1,0
69,3,2,4,10,2,1,8,2,2,6,1,Female,656.5,25.622255950637918,0,1,0
70,4,3,10,10,1,8,8,2,6,10,1,Male,739.5,27.19374928177429,0,0,1
71,3,5,0,3,1,10,4,2,1,10,1,Female,657.5,25.64176280991617,0,1,0
72,0,4,2,3,2,4,4,1,0,0,2,Female,528.8,22.995651762887697,1,1,0
73,4,3,8,10,2,7,6,2,1,3,3,Male,694.7,26.35716221447218,2,0,1
74,5,1,4,2,1,4,8,2,5,10,3,Female,662.2,25.7332469774026,2,1,0
